iter	Passed	Remaining
0	71	71207
1	128	64234
2	194	64675
3	257	64005
4	320	63872
5	366	60757
6	412	58473
7	458	56833
8	500	55085
9	542	53750
10	590	53103
11	631	51955
12	681	51704
13	722	50919
14	761	50035
15	804	49482
16	847	49002
17	887	48440
18	928	47939
19	979	48019
20	1023	47731
21	1064	47331
22	1103	46874
23	1141	46435
24	1180	46036
25	1219	45671
26	1256	45277
27	1294	44922
28	1335	44725
29	1373	44412
30	1418	44340
31	1455	44036
32	1493	43774
33	1532	43536
34	1569	43271
35	1607	43040
36	1645	42840
37	1683	42627
38	1721	42423
39	1758	42203
40	1796	42014
41	1835	41876
42	1873	41692
43	1911	41532
44	1950	41392
45	2003	41544
46	2044	41462
47	2082	41293
48	2122	41198
49	2160	41041
50	2197	40886
51	2235	40763
52	2273	40620
53	2308	40448
54	2346	40316
55	2383	40175
56	2423	40090
57	2460	39969
58	2501	39890
59	2543	39840
60	2581	39738
61	2624	39705
62	2661	39578
63	2713	39691
64	2756	39646
65	2796	39576
66	2836	39495
67	2874	39399
68	2913	39312
69	2951	39209
70	2988	39099
71	3031	39075
72	3068	38967
73	3103	38840
74	3141	38746
75	3178	38640
76	3220	38606
77	3269	38646
78	3308	38571
79	3350	38533
80	3388	38440
81	3426	38359
82	3466	38296
83	3505	38230
84	3542	38130
85	3579	38041
86	3616	37949
87	3656	37893
88	3695	37823
89	3747	37887
90	3794	37902
91	3835	37850
92	3872	37768
93	3913	37721
94	3954	37673
95	3994	37615
96	4033	37553
97	4071	37478
98	4108	37395
99	4146	37322
100	4187	37271
101	4224	37192
102	4264	37134
103	4302	37071
104	4341	37005
105	4379	36940
106	4418	36874
107	4456	36805
108	4494	36743
109	4535	36697
110	4575	36648
111	4613	36580
112	4651	36508
113	4691	36462
114	4732	36418
115	4774	36382
116	4813	36323
117	4849	36246
118	4891	36210
119	4936	36198
120	4975	36146
121	5015	36092
122	5055	36044
123	5095	35997
124	5132	35930
125	5174	35890
126	5210	35820
127	5248	35753
128	5291	35725
129	5328	35659
130	5365	35593
131	5402	35523
132	5439	35459
133	5484	35445
134	5521	35378
135	5559	35320
136	5597	35260
137	5634	35196
138	5675	35157
139	5713	35100
140	5755	35063
141	5793	35008
142	5831	34945
143	5867	34878
144	5907	34834
145	5944	34772
146	5984	34727
147	6023	34678
148	6063	34632
149	6101	34576
150	6138	34515
151	6173	34439
152	6210	34381
153	6251	34341
154	6291	34298
155	6326	34229
156	6365	34179
157	6405	34133
158	6442	34074
159	6479	34017
160	6515	33953
161	6554	33907
162	6593	33857
163	6631	33806
164	6671	33761
165	6709	33710
166	6748	33660
167	6788	33619
168	6828	33577
169	6866	33526
170	6908	33492
171	6948	33448
172	6987	33402
173	7026	33355
174	7065	33307
175	7107	33276
176	7149	33241
177	7190	33206
178	7230	33163
179	7272	33131
180	7314	33097
181	7351	33042
182	7392	33005
183	7432	32959
184	7474	32929
185	7521	32916
186	7558	32859
187	7596	32812
188	7637	32772
189	7677	32730
190	7716	32685
191	7760	32657
192	7802	32625
193	7848	32608
194	7892	32580
195	7933	32541
196	7972	32499
197	8014	32463
198	8053	32416
199	8091	32365
200	8132	32328
201	8171	32279
202	8208	32227
203	8246	32176
204	8287	32137
205	8323	32080
206	8361	32033
207	8398	31980
208	8438	31938
209	8478	31893
210	8517	31848
211	8552	31788
212	8592	31746
213	8629	31695
214	8673	31666
215	8711	31621
216	8748	31567
217	8786	31517
218	8826	31477
219	8873	31459
220	8913	31420
221	8953	31376
222	8992	31333
223	9033	31293
224	9075	31258
225	9116	31221
226	9151	31161
227	9193	31129
228	9229	31074
229	9265	31017
230	9305	30978
231	9352	30958
232	9388	30906
233	9431	30873
234	9466	30817
235	9504	30768
236	9541	30717
237	9587	30696
238	9629	30662
239	9670	30624
240	9716	30599
241	9755	30555
242	9794	30512
243	9839	30485
244	9884	30458
245	9923	30415
246	9962	30370
247	10002	30329
248	10042	30288
249	10083	30250
250	10120	30199
251	10157	30150
252	10197	30107
253	10237	30067
254	10277	30025
255	10317	29984
256	10356	29940
257	10394	29895
258	10431	29845
259	10470	29799
260	10510	29760
261	10545	29705
262	10584	29660
263	10621	29611
264	10655	29555
265	10698	29521
266	10740	29485
267	10777	29436
268	10813	29386
269	10850	29335
270	10886	29285
271	10927	29246
272	10967	29206
273	11004	29157
274	11043	29114
275	11079	29063
276	11116	29016
277	11155	28972
278	11191	28921
279	11235	28890
280	11279	28859
281	11317	28815
282	11354	28766
283	11387	28709
284	11423	28660
285	11462	28615
286	11503	28578
287	11543	28537
288	11578	28486
289	11615	28438
290	11651	28387
291	11685	28334
292	11721	28284
293	11756	28230
294	11790	28176
295	11827	28129
296	11861	28077
297	11906	28047
298	11949	28015
299	11984	27963
300	12023	27922
301	12060	27875
302	12105	27847
303	12141	27796
304	12177	27748
305	12217	27709
306	12256	27666
307	12291	27614
308	12329	27571
309	12366	27525
310	12401	27473
311	12436	27423
312	12474	27381
313	12513	27338
314	12551	27293
315	12591	27254
316	12631	27215
317	12668	27170
318	12707	27127
319	12743	27079
320	12776	27026
321	12818	26990
322	12852	26938
323	12889	26892
324	12923	26841
325	12964	26803
326	13003	26763
327	13044	26725
328	13083	26684
329	13122	26642
330	13161	26601
331	13198	26556
332	13237	26513
333	13276	26473
334	13314	26430
335	13347	26378
336	13383	26330
337	13419	26283
338	13458	26241
339	13502	26210
340	13542	26171
341	13580	26127
342	13620	26088
343	13652	26034
344	13687	25986
345	13723	25939
346	13758	25890
347	13797	25850
348	13834	25806
349	13870	25759
350	13910	25719
351	13952	25685
352	13991	25643
353	14027	25598
354	14064	25553
355	14105	25516
356	14144	25476
357	14178	25425
358	14213	25378
359	14250	25333
360	14286	25287
361	14326	25249
362	14366	25210
363	14404	25167
364	14440	25123
365	14482	25086
366	14519	25042
367	14555	24997
368	14598	24963
369	14633	24916
370	14669	24870
371	14702	24821
372	14739	24777
373	14776	24733
374	14811	24686
375	14848	24641
376	14882	24592
377	14924	24558
378	14958	24509
379	14996	24467
380	15032	24422
381	15069	24379
382	15106	24336
383	15142	24291
384	15179	24247
385	15217	24205
386	15256	24165
387	15290	24118
388	15334	24085
389	15375	24049
390	15409	24000
391	15443	23953
392	15476	23903
393	15512	23859
394	15547	23813
395	15583	23768
396	15619	23724
397	15656	23681
398	15691	23635
399	15726	23589
400	15760	23542
401	15795	23497
402	15834	23457
403	15870	23412
404	15906	23368
405	15941	23323
406	15980	23284
407	16019	23243
408	16054	23198
409	16090	23154
410	16126	23111
411	16163	23068
412	16200	23026
413	16237	22983
414	16272	22939
415	16308	22895
416	16347	22854
417	16384	22813
418	16421	22771
419	16467	22740
420	16507	22702
421	16544	22660
422	16586	22625
423	16622	22582
424	16659	22539
425	16698	22500
426	16738	22461
427	16776	22420
428	16814	22380
429	16852	22339
430	16888	22295
431	16929	22258
432	16966	22216
433	17004	22176
434	17051	22147
435	17087	22104
436	17129	22067
437	17175	22038
438	17215	21999
439	17254	21960
440	17290	21917
441	17330	21878
442	17365	21834
443	17401	21790
444	17441	21752
445	17480	21713
446	17518	21672
447	17558	21634
448	17591	21588
449	17631	21550
450	17670	21510
451	17708	21469
452	17749	21433
453	17783	21387
454	17820	21345
455	17856	21302
456	17891	21258
457	17929	21217
458	17964	21174
459	18005	21137
460	18044	21097
461	18097	21074
462	18137	21036
463	18174	20994
464	18209	20950
465	18245	20908
466	18283	20867
467	18317	20822
468	18355	20781
